Academic Level,Degree,Faculty,Module,Module Units,Module Type,Prog Code,Prog Credits,Prog Descr,Prog Year,Year Credits
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121020,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121021,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121022,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121023,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121024,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121025,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121026,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121027,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121028,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121029,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121030,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121031,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121032,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121033,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121034,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121035,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121036,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 300,11,Core,7121037,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 301,11,Core,7121020,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 301,11,Core,7121021,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 301,11,Core,7121022,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 301,11,Core,7121023,120,General Management,FIN,120
UGRD,Adv Dip in General Management,GIBS,GAD 301,11,Core,7121024,120,General Management,FIN,120
