"faculty_code","source_faculty_code","programme_code","programme_name","year_level_raw","year_level_sort","module_code","module_name","module_type","module_units","source_file","last_verified","notes"
"EBIT","EBIT","12130001","Industrial Engineering","01","1","CHM 172","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","EBN 111","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","FSK 116","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","JSU 110","","Core","8","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","JSU 120","","Core","8","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","MGC 110","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","NMC 123","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","SWK 122","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","UPO 112","","Fundamental","0","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","WTW 158","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","WTW 164","","Core","16","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","01","1","WWP 121","","Core","1","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","02","2","BES 220","","Core","8","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
"EBIT","EBIT","12130001","Industrial Engineering","02","2","BJJ 210","","Core","8","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13","Module name not supplied in source CSV; code only."
