"faculty_code","faculty_name","source_faculty_code","programme_code","programme_name","degree_name","academic_level","qualification_type","programme_credits","duration_years","year_levels","source_file","last_verified","notes"
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12132018","Architecture","BSc","UGRD","Bachelor","380","3","01;02;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12132031","Bachelor of Science in Archite","BSc in Architecture","UGRD","Bachelor","380","3","01;02;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136012","BEng in Chem Eng 5-year","BEng in Chemical Engineering","UGRD","Bachelor","679","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136017","BEng in Civil Eng 5-year","BEng in Civil Engineering","UGRD","Bachelor","670","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136019","BEng in Computer Eng 5-year","BEng in Computer Engineering","UGRD","Bachelor","670","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136013","BEng in Electrical Eng 5-year","BEng in Electrical Engineering","UGRD","Bachelor","655","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136018","BEng in Electronic Eng 5-year","BEng in Electronic Engineering","UGRD","Bachelor","653","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136020","BEng in Industrial Eng 5-year","BEng in Industrial Engineering","UGRD","Bachelor","675","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136014","BEng in Mechanical Eng 5-year","BEng in Mechanical Engineering","UGRD","Bachelor","659","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136015","BEng in Metall Eng 5-year","BEng in Metallurgical Engineer","UGRD","Bachelor","667","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12136016","BEng Mining Eng 5-year","BEng in Mining Engineering","UGRD","Bachelor","675","5","01;02;03;04;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12133215","BIT in Information Systems","BIT in Information Systems","UGRD","Bachelor","371","3","01;02;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12134002","BSc in Computer Science","BSc in Computer Science","UGRD","Bachelor","444","3","01;02;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
"EBIT","Faculty of Engineering, Built Environment and Information Technology","EBIT","12132034","BSc in Construction Management","BSc in Construction Management","UGRD","Bachelor","393","3","01;02;FIN","University_of_Pretoria_Curriculumn_Data.csv","2026-06-13",""
